"Company Name","Company Name"
"Delete Account","Delete Account"
"Are you sure you want to delete account? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive.","Are you sure you want to delete account? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive."
Save,Save
"We can't get the order instance right now.","We can't get the order instance right now."
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Your company account request is being reviewed by admin.","Your company account request is being reviewed by admin."
"Your company account got inactivated by admin. All company users are free to log in to their customer accounts, but can’t place orders. ","Your company account got inactivated by admin. All company users are free to log in to their customer accounts, but can’t place orders. "
"T: %1","T: %1"
"VAT/TAX ID: %1","VAT/TAX ID: %1"
"Re-seller ID: %1","Re-seller ID: %1"
"Create a Company Account","Create a Company Account"
"Company Administrator","Company Administrator"
"Company Accounts","Company Accounts"
"We can't find account to delete.","We can't find account to delete."
"Company was successfully removed","Company was successfully removed"
"This Company no longer exists.","This Company no longer exists."
"Edit Company ""%1""","Edit Company ""%1"""
"New Company","New Company"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been deactivated.","A total of %1 record(s) have been deactivated."
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"You have saved the Company.","You have saved the Company."
"A total of %1 record(s) have been saved.","A total of %1 record(s) have been saved."
"Something went wrong.","Something went wrong."
"Company Orders","Company Orders"
"New Company Account","New Company Account"
"Edit Company Account","Edit Company Account"
"Company Account","Company Account"
"An error occurred on the server. Your changes have not been saved.","An error occurred on the server. Your changes have not been saved."
"There is already a company account associated with this email address. Please enter a different email address.","There is already a company account associated with this email address. Please enter a different email address."
"Company Account information was successfully saved.","Company Account information was successfully saved."
"Thank you! New Company Account was created successfully.","Thank you! New Company Account was created successfully."
"Thank you! Your request is received and will be reviewed as soon as possible.","Thank you! Your request is received and will be reviewed as soon as possible."
"New Role","New Role"
"Role has been deleted successfully","Role has been deleted successfully"
"An error occurred on the server. Please review the error log.","An error occurred on the server. Please review the error log."
"You can't delete a Role which is assigned to Users. In order to proceed please assign associated Users to other Roles.","You can't delete a Role which is assigned to Users. In order to proceed please assign associated Users to other Roles."
"Edit Role","Edit Role"
"Company Roles","Company Roles"
"The role was updated successfully.","The role was updated successfully."
"The role was created successfully.","The role was created successfully."
"Your changes have not been saved. Please enter a role title","Your changes have not been saved. Please enter a role title"
"Your changes have not been saved. Please choose role permissions","Your changes have not been saved. Please choose role permissions"
"New User","New User"
"The customer was deleted successfully.","The customer was deleted successfully."
"You can’t delete yourself. The action was not completed.","You can’t delete yourself. The action was not completed."
"Edit User","Edit User"
"Company Users","Company Users"
"The customer was updated successfully.","The customer was updated successfully."
"The customer was created successfully.","The customer was created successfully."
"The customer %1 (ID %2) is a Company Administrator and can’t be assigned to other company.","The customer %1 (ID %2) is a Company Administrator and can’t be assigned to other company."
"Customer does not exist","Customer does not exist"
"Unable to save company with ID %1. Error: %2","Unable to save company with ID %1. Error: %2"
"Unable to save new company. Error: %1","Unable to save new company. Error: %1"
"Company with specified ID ""%1"" not found.","Company with specified ID ""%1"" not found."
"Unable to remove company with ID %1. Error: %2","Unable to remove company with ID %1. Error: %2"
"Unable to remove company. Error: %1","Unable to remove company. Error: %1"
"Unable to save permission with ID %1. Error: %2","Unable to save permission with ID %1. Error: %2"
"Unable to save new permission. Error: %1","Unable to save new permission. Error: %1"
"Permission with specified ID ""%1"" not found.","Permission with specified ID ""%1"" not found."
"Unable to remove permission with ID %1. Error: %2","Unable to remove permission with ID %1. Error: %2"
"Unable to remove permission. Error: %1","Unable to remove permission. Error: %1"
"Unable to save role with ID %1. Error: %2","Unable to save role with ID %1. Error: %2"
"Unable to save new role. Error: %1","Unable to save new role. Error: %1"
"Role with specified ID ""%1"" not found.","Role with specified ID ""%1"" not found."
"Unable to remove role with ID %1. Error: %2","Unable to remove role with ID %1. Error: %2"
"Unable to remove role. Error: %1","Unable to remove role. Error: %1"
"Default User","Default User"
"Pending status is not available for an existed company","Pending status is not available for an existed company"
"There was an error saving customer.","There was an error saving customer."
"%1 (Default)","%1 (Default)"
"Choose Company","Choose Company"
"Default Group","Default Group"
(disabled),(disabled)
Pending,Pending
Inactive,Inactive
Active,Active
Rejected,Rejected
Default,Default
"Default Administrator","Default Administrator"
"You do not have permission to place an order.","You do not have permission to place an order."
"You do not have permission to proceed the checkout.","You do not have permission to proceed the checkout."
"Company with id: %1 no longer exists","Company with id: %1 no longer exists"
"This customer is already assigned to company ""%1"" as a company administrator","This customer is already assigned to company ""%1"" as a company administrator"
"This customer assigned to company %1 and group change prohibited","This customer assigned to company %1 and group change prohibited"
"You can't delete the Company Administrator.
                    In order to proceed please assign other Customer as Company Administrator of Company %1","You can't delete the Company Administrator.
                    In order to proceed please assign other Customer as Company Administrator of Company %1"
"Invalid login or password.","Invalid login or password."
"The account is locked.","The account is locked."
"Assign to Company Account","Assign to Company Account"
"Are you sure you want to assign company to selected items?","Are you sure you want to assign company to selected items?"
"Assign to","Assign to"
"Page not found.","Page not found."
Edit,Edit
Guest,Guest
Orders,Orders
"Order #","Order #"
Date,Date
"Placed By","Placed By"
"Ship To","Ship To"
"Order Total","Order Total"
Status,Status
Action,Action
Actions,Actions
"View Order","View Order"
Reorder,Reorder
"There are no orders associated with your Company Account.","There are no orders associated with your Company Account."
"Placed by:","Placed by:"
"Print Order","Print Order"
